sfragcov.l,sfragcov.r,sfragcov.h,distrocks.l,distrocks.r,distrocks.h,sfragkind,sfragsize.l,sfragsize.r,sfragsize.h,sfragshp,sfraground,sfraghard,cokey,cosurffragskey
0,0,0.01,NA,NA,NA,Mixed rock fragments,2,39,75,Nonflat,Subrounded,Indurated,20428651,4277625
0,0,0.01,NA,NA,NA,Mixed rock fragments,2,39,75,Nonflat,Subrounded,Indurated,20428652,4277626
