hzname,desgndisc,desgnmaster,desgnmasterprime,desgnvert,hzdept.l,hzdept.r,hzdept.h,hzdepb.l,hzdepb.r,hzdepb.h,hzthk.l,hzthk.r,hzthk.h,fraggt10.l,fraggt10.r,fraggt10.h,frag3to10.l,frag3to10.r,frag3to10.h,sieveno4.l,sieveno4.r,sieveno4.h,sieveno10.l,sieveno10.r,sieveno10.h,sieveno40.l,sieveno40.r,sieveno40.h,sieveno200.l,sieveno200.r,sieveno200.h,sandtotal.l,sandtotal.r,sandtotal.h,sandvc.l,sandvc.r,sandvc.h,sandco.l,sandco.r,sandco.h,sandmed.l,sandmed.r,sandmed.h,sandfine.l,sandfine.r,sandfine.h,sandvf.l,sandvf.r,sandvf.h,silttotal.l,silttotal.r,silttotal.h,siltco.l,siltco.r,siltco.h,siltfine.l,siltfine.r,siltfine.h,claytotal.l,claytotal.r,claytotal.h,claysizedcarb.l,claysizedcarb.r,claysizedcarb.h,om.l,om.r,om.h,dbtenthbar.l,dbtenthbar.r,dbtenthbar.h,dbthirdbar.l,dbthirdbar.r,dbthirdbar.h,dbfifteenbar.l,dbfifteenbar.r,dbfifteenbar.h,dbovendry.l,dbovendry.r,dbovendry.h,partdensity,ksat.l,ksat.r,ksat.h,awc.l,awc.r,awc.h,wtenthbar.l,wtenthbar.r,wtenthbar.h,wthirdbar.l,wthirdbar.r,wthirdbar.h,wfifteenbar.l,wfifteenbar.r,wfifteenbar.h,wsatiated.l,wsatiated.r,wsatiated.h,lep.l,lep.r,lep.h,ll.l,ll.r,ll.h,pi.l,pi.r,pi.h,aashind.l,aashind.r,aashind.h,kwfact,kffact,caco3.l,caco3.r,caco3.h,gypsum.l,gypsum.r,gypsum.h,sar.l,sar.r,sar.h,ec.l,ec.r,ec.h,cec7.l,cec7.r,cec7.h,ecec.l,ecec.r,ecec.h,sumbases.l,sumbases.r,sumbases.h,ph1to1h2o.l,ph1to1h2o.r,ph1to1h2o.h,ph01mcacl2.l,ph01mcacl2.r,ph01mcacl2.h,freeiron.l,freeiron.r,freeiron.h,feoxalate.l,feoxalate.r,feoxalate.h,extracid.l,extracid.r,extracid.h,extral.l,extral.r,extral.h,aloxalate.l,aloxalate.r,aloxalate.h,pbray1.l,pbray1.r,pbray1.h,poxalate.l,poxalate.r,poxalate.h,ph2osoluble.l,ph2osoluble.r,ph2osoluble.h,ptotal.l,ptotal.r,ptotal.h,excavdifcl,excavdifms,cokey,chkey
"BCg, Cg",NA,H,NA,3,NA,117,NA,NA,152,NA,NA,35,NA,0,0,0,0,0,0,100,100,100,100,100,100,95,97.5,100,80,90,100,NA,6.9,NA,NA,0.4,NA,NA,0.6,NA,NA,0.9,NA,NA,2.2,NA,NA,2.8,NA,NA,63.1,NA,NA,NA,NA,NA,NA,NA,25,30,35,NA,NA,NA,1,1.5,2,NA,NA,NA,1.35,1.4,1.45,NA,NA,NA,NA,1.58,NA,NA,1,3,10,0.18,0.19,0.2,NA,NA,NA,29.9,32.1,34.1,15.3,18.6,22,42,44,46,2.6,4.2,5.8,40,47.5,55,15,22.5,30,12,22,34,0.43,0.43,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,30,33,36,NA,NA,NA,NA,NA,NA,6.1,6.7,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,5.8,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428501,59965619
Ap,NA,A,NA,1,NA,0,NA,NA,18,NA,NA,18,NA,0,0,0,0,0,0,100,100,100,94,96,100,90,96,100,86,92,100,NA,7.5,NA,NA,0,NA,NA,0,NA,NA,0.2,NA,NA,2.1,NA,NA,5.2,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,18,22.5,27,NA,NA,NA,2,3,4,NA,NA,NA,1.25,1.3,1.35,NA,NA,NA,NA,1.36,NA,NA,1,9,10,0.2,0.22,0.23,NA,NA,NA,26.5,29.3,32.1,11.4,14.9,18.7,43,46,48,0,1.5,2.9,25,30,35,5,10,15,2,8,15,0.37,0.37,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,22.5,25,NA,NA,NA,NA,NA,NA,6.1,6.7,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,6.5,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428502,59965620
C1,NA,C,NA,2,NA,18,NA,NA,79,NA,NA,61,NA,0,0,0,0,0,0,100,100,100,94,96,100,88,95,100,84,90,99,NA,7,NA,NA,0.4,NA,NA,0.6,NA,NA,0.9,NA,NA,2.2,NA,NA,2.9,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,18,23,28,NA,NA,NA,0,0.25,0.5,NA,NA,NA,1.25,1.3,1.35,NA,NA,NA,NA,1.49,NA,NA,1,9,10,0.2,0.22,0.23,NA,NA,NA,24.4,27.1,29.8,9.1,12,15.1,45,47,50,3,4.5,5.9,25,32.5,40,5,10,15,2,8,17,0.49,0.49,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,22.5,25,NA,NA,NA,NA,NA,NA,6.1,6.7,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,3.8,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428502,59965621
C2,NA,C,NA,2,NA,79,NA,NA,107,NA,NA,28,NA,0,0,0,0,0,0,100,100,100,94,96,100,88,95,100,84,90,100,NA,7,NA,NA,0.4,NA,NA,0.6,NA,NA,0.9,NA,NA,2.2,NA,NA,2.9,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,18,23,30,NA,NA,NA,0,0.25,0.5,NA,NA,NA,1.25,1.3,1.35,NA,NA,NA,NA,1.49,NA,NA,1,9,10,0.2,0.22,0.23,NA,NA,NA,24.4,27.1,30.5,9.1,12,16.2,45,47,50,3,4.5,5.9,25,32.5,40,5,10,15,2,8,17,0.49,0.49,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,22.5,25,NA,NA,NA,NA,NA,NA,6.1,6.7,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,3.8,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428502,59965622
C3,NA,C,NA,2,NA,107,NA,NA,203,NA,NA,96,NA,0,0,0,0,0,0,100,100,100,94,96,100,88,95,100,84,90,99,NA,7,NA,NA,0,NA,NA,0,NA,NA,0.2,NA,NA,1.9,NA,NA,4.9,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,18,23,28,NA,NA,NA,0,0.25,0.5,NA,NA,NA,1.25,1.3,1.35,NA,NA,NA,NA,1.49,NA,NA,1,9,10,0.2,0.22,0.23,NA,NA,NA,24.4,27.1,29.8,9.1,12,15.1,45,47,50,3,4.5,5.9,25,32.5,40,5,10,15,2,8,17,0.49,0.49,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,22.5,25,NA,NA,NA,NA,NA,NA,6.1,6.7,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,3.8,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428502,59965623
,NA,,NA,NA,NA,0,NA,NA,60,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428503,59965624
"Ap, A",NA,A,NA,1,NA,0,NA,NA,33,NA,NA,33,NA,0,0,0,0,0,0,100,100,100,100,100,100,85,90,95,60,65,70,NA,39.2,NA,NA,3.5,NA,NA,5,NA,NA,6.8,NA,NA,12.3,NA,NA,11.6,NA,NA,37.3,NA,NA,NA,NA,NA,NA,NA,20,23.5,27,NA,NA,NA,2,2.5,3,NA,NA,NA,1.45,1.5,1.55,NA,NA,NA,NA,1.71,NA,NA,1,9,10,0.2,0.21,0.22,NA,NA,NA,29.6,31.4,33.1,14.8,17.5,20.2,38,39,41,3,4.5,5.9,30,35,40,11,15.5,20,4,8,12,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,0,25,27.5,30,NA,NA,NA,NA,NA,NA,5.1,6.2,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,6.9,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428504,59965625
Bw,NA,B,NA,2,NA,33,NA,NA,91,NA,NA,58,NA,0,0,0,0,0,0,100,100,100,100,100,100,85,90,95,55,60,65,NA,41.1,NA,NA,3.9,NA,NA,5.4,NA,NA,7.2,NA,NA,12.8,NA,NA,11.8,NA,NA,36.9,NA,NA,NA,NA,NA,NA,NA,18,22,26,NA,NA,NA,1,2,3,NA,NA,NA,1.55,1.6,1.65,NA,NA,NA,NA,1.83,NA,NA,1,9,10,0.17,0.18,0.19,NA,NA,NA,28.3,31.1,33.5,13,17,20.9,34,36,38,3,4.5,5.9,25,30,35,5,10,15,0,3,7,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,20,22.5,25,NA,NA,NA,4.5,5.3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,8.1,11.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428504,59965626
"BC, C",NA,C,NA,3,NA,91,NA,NA,114,NA,NA,23,NA,0,0,0,0,0,0,100,100,100,100,100,100,50,62.5,75,10,20,30,NA,68.3,NA,NA,4.5,NA,NA,14.6,NA,NA,18.1,NA,NA,20.3,NA,NA,10.8,NA,NA,19.7,NA,NA,NA,NA,NA,NA,NA,8,12,16,NA,NA,NA,0,0.25,0.5,NA,NA,NA,1.65,1.68,1.7,NA,NA,NA,NA,1.76,NA,NA,10,28,100,0.05,0.07,0.08,NA,NA,NA,15.1,18.6,21.4,5.6,8.9,12.1,34,35,36,0,1.5,2.9,15,15,15,0,2.5,5,0,0,0,0.24,0.24,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,10,12.5,15,NA,NA,NA,4.5,5.3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,4.8,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428504,59965627
2C,NA,C,NA,4,NA,114,NA,NA,152,NA,NA,38,NA,0,0,0,0,0,0,90,95,100,90,92.5,95,20,27.5,35,3,4,5,NA,94.6,NA,NA,0.7,NA,NA,12.9,NA,NA,36.6,NA,NA,37.3,NA,NA,7.1,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,2,4,6,NA,NA,NA,0,0.25,0.5,NA,NA,NA,1.65,1.7,1.75,NA,NA,NA,NA,1.78,NA,NA,100,200,705,0.03,0.04,0.05,10.6,13.3,15.2,6.5,9.5,11.7,1.4,3.2,5.1,30,32,34,0,1.5,2.9,0,7,14,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,5,7.5,10,NA,NA,NA,NA,NA,NA,6.1,6.7,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,2.5,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428504,59965628
