texcl,lieutex,chtgkey,chtkey
Loamy sand,,120448829,122525717
Sand,,120448830,122526207
Loam,,120448835,122525177
Sandy loam,,120448836,122525178
Silt loam,,120448837,122526201
Clay loam,,120448838,122525179
Sandy loam,,120448839,122525180
Silt loam,,120449899,122525487
Silty clay loam,,120449900,122525486
Silty clay loam,,120449901,122526004
Silt loam,,120449902,122525361
Silty clay loam,,120449903,122525755
Silty clay loam,,120449904,122526001
Silty clay loam,,120449905,122526240
Silty clay loam,,120449906,122525500
Sandy loam,,120449437,122526208
Sandy clay loam,,120449438,122525718
Loam,,120449439,122525185
Clay loam,,120449442,122525188
Loam,,120449443,122525719
Silty clay,,120449890,122525208
Silty clay loam,,120449891,122525209
Silty clay loam,,120449895,122525501
Silty clay loam,,120449896,122525502
Silt loam,,120449897,122525503
Silt loam,,120449898,122525754
Silty clay loam,,120449425,122525453
Clay loam,,120449426,122526210
Loam,,120449427,122525189
Silty clay loam,,120449428,122525720
Clay loam,,120449429,122526209
Loam,,120449430,122525722
Loam,,120449431,122525455
Clay loam,,120449432,122525454
Silty clay loam,,120449884,122525757
Silty clay,,120449885,122526002
Silty clay,,120449886,122525210
Silty clay loam,,120449887,122525342
Sandy clay loam,,120449433,122526211
Clay loam,,120449434,122525721
Sandy loam,,120449435,122526212
Loam,,120449436,122525456
Loam,,120449440,122525186
Clay loam,,120449441,122525187
Silty clay loam,,120449888,122525207
Silty clay,,120449889,122525341
Silt loam,,120449892,122526003
Silty clay loam,,120449893,122525758
Silty clay,,120449894,122525360
Silt loam,,120449907,122525488
Silty clay loam,,120449908,122526241
Clay loam,,120449909,122525756
