soimoistdept.l,soimoistdept.r,soimoistdept.h,soimoistdepb.l,soimoistdepb.r,soimoistdepb.h,soimoiststat,comonthkey,cosoilmoistkey
122,122,183,203,203,203,Wet,213933501,134413715
137,137,198,203,203,203,Wet,213933502,134413716
0,0,0,137,137,198,Moist,213933502,134413717
198,198,203,203,203,203,Wet,213933503,134413718
0,0,0,198,198,203,Moist,213933503,134413719
168,168,203,203,203,203,Wet,213933504,134413720
0,0,0,168,168,203,Moist,213933504,134413721
0,0,0,0,15,30,,213933505,134413722
0,15,30,183,183,183,Wet,213933505,134413723
0,0,0,0,15,30,,213933506,134413724
0,15,30,183,183,183,Wet,213933506,134413725
0,0,0,0,15,30,,213933507,134413726
0,15,30,183,183,183,Wet,213933507,134413727
0,0,0,0,15,30,,213933508,134413728
0,15,30,183,183,183,Wet,213933508,134413729
0,0,0,0,183,183,Moist,213933509,134413730
0,183,183,183,183,183,Wet,213933509,134413731
0,0,0,0,15,30,,213933510,134413732
0,15,30,183,183,183,Wet,213933510,134413733
0,0,0,0,15,30,,213933511,134413734
0,15,30,183,183,183,Wet,213933511,134413735
0,0,0,0,15,30,,213933512,134413736
0,15,30,183,183,183,Wet,213933512,134413737
0,0,0,0,15,30,,213933513,134413738
0,15,30,183,183,183,Wet,213933513,134413739
0,0,0,0,15,30,,213933514,134413740
0,15,30,183,183,183,Wet,213933514,134413741
0,0,0,0,183,183,Moist,213933515,134413742
0,183,183,183,183,183,Wet,213933515,134413743
0,0,0,0,183,183,Moist,213933516,134413744
0,183,183,183,183,183,Wet,213933516,134413745
0,0,0,91,91,168,Moist,213933517,134413746
91,91,168,203,203,203,Wet,213933517,134413747
91,91,168,203,203,203,Wet,213933518,134413748
0,0,0,91,91,168,Moist,213933518,134413749
0,0,0,30,30,107,Moist,213933519,134413750
30,30,107,203,203,203,Wet,213933519,134413751
46,46,122,203,203,203,Wet,213933520,134413752
0,0,0,46,46,122,Moist,213933520,134413753
0,0,0,61,61,137,Moist,213933521,134413754
61,61,137,203,203,203,Wet,213933521,134413755
0,0,0,91,91,168,Moist,213933522,134413756
91,91,168,203,203,203,Wet,213933522,134413757
0,0,0,107,107,183,Moist,213933523,134413758
107,107,183,203,203,203,Wet,213933523,134413759
122,122,198,203,203,203,Wet,213933524,134413760
0,0,0,122,122,198,Moist,213933524,134413761
0,0,0,107,107,183,Moist,213933525,134413762
107,107,183,203,203,203,Wet,213933525,134413763
0,0,0,76,76,152,Moist,213933526,134413764
76,76,152,203,203,203,Wet,213933526,134413765
76,76,152,203,203,203,Wet,213933527,134413766
0,0,0,76,76,152,Moist,213933527,134413767
0,0,0,46,46,122,Moist,213933528,134413768
46,46,122,203,203,203,Wet,213933528,134413769
0,0,0,203,203,203,Moist,213934441,134415286
0,0,0,203,203,203,Moist,213934442,134415287
0,0,0,203,203,203,Moist,213934443,134415288
0,0,0,203,203,203,Moist,213934444,134415289
0,0,0,203,203,203,Moist,213934445,134415290
0,0,0,203,203,203,Moist,213934446,134415291
0,0,0,203,203,203,Moist,213934447,134415292
0,0,0,203,203,203,Moist,213934448,134415293
0,0,0,203,203,203,Moist,213934449,134415294
0,0,0,203,203,203,Moist,213934450,134415295
0,0,0,203,203,203,Moist,213934451,134415296
0,0,0,203,203,203,Moist,213934452,134415297
0,0,0,107,107,183,Moist,213934453,134415298
107,107,183,203,203,203,Wet,213934453,134415299
0,0,0,122,122,198,Moist,213934454,134415300
122,122,198,203,203,203,Wet,213934454,134415301
0,0,0,107,107,183,Moist,213934455,134415302
107,107,183,203,203,203,Wet,213934455,134415303
0,0,0,76,76,152,Moist,213934456,134415304
76,76,152,203,203,203,Wet,213934456,134415305
0,0,0,76,76,152,Moist,213934457,134415306
76,76,152,203,203,203,Wet,213934457,134415307
0,0,0,46,46,122,Moist,213934458,134415308
46,46,122,203,203,203,Wet,213934458,134415309
0,0,0,30,30,107,Moist,213934459,134415310
30,30,107,203,203,203,Wet,213934459,134415311
0,0,0,46,46,122,Moist,213934460,134415312
46,46,122,203,203,203,Wet,213934460,134415313
0,0,0,61,61,137,Moist,213934461,134415314
61,61,137,203,203,203,Wet,213934461,134415315
0,0,0,91,91,168,Moist,213934462,134415316
91,91,168,203,203,203,Wet,213934462,134415317
0,0,0,91,91,168,Moist,213934463,134415318
91,91,168,203,203,203,Wet,213934463,134415319
0,0,0,91,91,168,Moist,213934464,134415320
91,91,168,203,203,203,Wet,213934464,134415321
0,0,0,46,46,91,Moist,213934465,134415322
46,46,91,203,203,203,Wet,213934465,134415323
0,0,0,15,15,61,Moist,213934466,134415324
15,15,61,203,203,203,Wet,213934466,134415325
0,0,30,203,203,203,Wet,213934467,134415326
0,0,0,0,0,30,Moist,213934467,134415327
15,15,61,203,203,203,Wet,213934468,134415328
0,0,0,15,15,61,Moist,213934468,134415329
30,30,61,203,203,203,Wet,213934469,134415330
0,0,0,30,30,61,Moist,213934469,134415331
61,61,107,203,203,203,Wet,213934470,134415332
0,0,0,61,61,107,Moist,213934470,134415333
0,0,0,76,76,107,Moist,213934471,134415334
76,76,107,203,203,203,Wet,213934471,134415335
91,91,122,203,203,203,Wet,213934472,134415336
0,0,0,91,91,122,Moist,213934472,134415337
76,76,107,203,203,203,Wet,213934473,134415338
0,0,0,76,76,107,Moist,213934473,134415339
46,46,91,203,203,203,Wet,213934474,134415340
0,0,0,46,46,91,Moist,213934474,134415341
0,0,0,61,61,107,Moist,213934475,134415342
61,61,107,203,203,203,Wet,213934475,134415343
0,0,0,61,61,107,Moist,213934476,134415344
61,61,107,203,203,203,Wet,213934476,134415345
0,0,0,46,46,91,Moist,213934477,134415346
46,46,91,203,203,203,Wet,213934477,134415347
0,0,0,15,15,61,Moist,213934478,134415348
15,15,61,203,203,203,Wet,213934478,134415349
0,0,0,0,0,30,Moist,213934479,134415350
0,0,30,203,203,203,Wet,213934479,134415351
0,0,0,15,15,46,Moist,213934480,134415352
15,15,46,203,203,203,Wet,213934480,134415353
0,0,0,30,30,61,Moist,213934481,134415354
30,30,61,203,203,203,Wet,213934481,134415355
0,0,0,61,61,91,Moist,213934482,134415356
61,61,91,203,203,203,Wet,213934482,134415357
0,0,0,76,76,107,Moist,213934483,134415358
76,76,107,203,203,203,Wet,213934483,134415359
0,0,0,91,91,122,Moist,213934484,134415360
91,91,122,203,203,203,Wet,213934484,134415361
0,0,0,76,76,107,Moist,213934485,134415362
76,76,107,203,203,203,Wet,213934485,134415363
0,0,0,46,46,91,Moist,213934486,134415364
46,46,91,203,203,203,Wet,213934486,134415365
0,0,0,61,61,107,Moist,213934487,134415366
61,61,107,203,203,203,Wet,213934487,134415367
0,0,0,61,61,107,Moist,213934488,134415368
61,61,107,203,203,203,Wet,213934488,134415369
0,0,0,70,100,120,Moist,213935281,134416746
70,100,120,200,200,200,Wet,213935281,134416747
0,0,0,40,70,100,Moist,213935282,134416748
40,70,100,200,200,200,Wet,213935282,134416749
30,40,60,200,200,200,Wet,213935283,134416750
0,0,0,30,40,60,Moist,213935283,134416751
0,0,0,30,40,60,Moist,213935284,134416752
30,40,60,200,200,200,Wet,213935284,134416753
60,80,100,200,200,200,Wet,213935285,134416754
0,0,0,60,80,100,Moist,213935285,134416755
0,0,0,15,25,30,Moist,213935286,134416756
15,25,30,200,200,200,Wet,213935286,134416757
60,80,90,200,200,200,Wet,213935287,134416758
0,0,0,60,80,90,Moist,213935287,134416759
0,0,0,60,90,110,Moist,213935288,134416760
60,90,110,200,200,200,Wet,213935288,134416761
40,60,90,200,200,200,Wet,213935289,134416762
0,0,0,40,60,90,Moist,213935289,134416763
0,0,0,50,70,100,Moist,213935290,134416764
50,70,100,200,200,200,Wet,213935290,134416765
15,20,50,200,200,200,Wet,213935291,134416766
0,0,0,15,20,50,Moist,213935291,134416767
0,0,0,0,0,20,Moist,213935292,134416768
0,0,20,200,200,200,Wet,213935292,134416769
0,0,0,100,115,130,Moist,213935293,134416770
100,115,130,200,200,200,Wet,213935293,134416771
110,140,180,200,200,200,Wet,213935294,134416772
0,0,0,110,140,180,Moist,213935294,134416773
0,0,0,80,100,140,Moist,213935295,134416774
80,100,140,200,200,200,Wet,213935295,134416775
0,0,0,30,45,60,Moist,213935296,134416776
30,45,60,200,200,200,Wet,213935296,134416777
0,0,0,60,80,100,Moist,213935297,134416778
60,80,100,200,200,200,Wet,213935297,134416779
0,0,0,90,110,130,Moist,213935298,134416780
90,110,130,200,200,200,Wet,213935298,134416781
120,140,180,200,200,200,Wet,213935299,134416782
0,0,0,120,140,180,Moist,213935299,134416783
0,0,0,70,80,120,Moist,213935300,134416784
70,80,120,200,200,200,Wet,213935300,134416785
50,60,70,200,200,200,Wet,213935301,134416786
0,0,0,50,60,70,Moist,213935301,134416787
0,0,0,130,160,180,Moist,213935302,134416788
130,160,180,200,200,200,Wet,213935302,134416789
0,0,0,60,70,80,Moist,213935303,134416790
60,70,80,200,200,200,Wet,213935303,134416791
0,0,0,50,70,90,Moist,213935304,134416792
50,70,90,200,200,200,Wet,213935304,134416793
61,61,107,200,200,200,Wet,213935857,134417688
0,0,0,61,61,107,Moist,213935857,134417689
0,0,0,61,61,107,Moist,213935858,134417690
61,61,107,200,200,200,Wet,213935858,134417691
0,0,0,46,46,91,Moist,213935859,134417692
46,46,91,200,200,200,Wet,213935859,134417693
15,15,61,200,200,200,Wet,213935860,134417694
0,0,0,15,15,61,Moist,213935860,134417695
0,0,0,0,0,30,Moist,213935861,134417696
0,0,30,200,200,200,Wet,213935861,134417697
0,0,0,15,15,46,Moist,213935862,134417698
15,15,46,200,200,200,Wet,213935862,134417699
